delivery_date,delivery_shift,origin_name,origin_raw_line_1,origin_city,origin_state,origin_zip,origin_country,client name,destination_raw_line_1,destination_city,destination_state,destination_zip,destination_country,phone_number,mode,purchase_order_number,volume,handling_unit_quantity,handling_unit_type
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Lonnie Lind,6562 PROSPECT ROAD,MAXTON,NC,28364,US,699.480.1907,TRUCKLOAD,500402210,68,3,box
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Halle Metz,105 SILVER BERRY CT,RAEFORD,NC,28376,US,131.601.7742 x29127,TRUCKLOAD,500398675,69.67,4,box
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Louie Mills,2315 QWIGLEY COURT,RAEFORD,NC,28376,US,1-598-007-0587 x8118,TRUCKLOAD,500398650,769.2,7,box
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Soledad Buckridge,120 QUAIL RD,RAEFORD,NC,28376,US,680-182-5990,TRUCKLOAD,500393065,24.77,1,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Felicita Hayes DVM,6041 GOLDEN RAIN DRIVE,FAYETTEVILLE,NC,28314,US,(947)904-7086,TRUCKLOAD,500394835,33,1,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Felicita Hayes DVM,6041 GOLDEN RAIN DRIVE,FAYETTEVILLE,NC,28314,US,(947)904-7086,TRUCKLOAD,500401170,34.65,2,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Josie Jacobs,6016 CROWN RIDGE COURT,FAYETTEVILLE,NC,28314,US,179-459-2512,TRUCKLOAD,500376825,14.76,4,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Santina Harber,9032 GROUSE RUN LANE,FAYETTEVILLE,NC,28314,US,179-842-7229 x975,TRUCKLOAD,500391915,104.25,13,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Eldora Kessler,8347 JUDY DRIVE,FAYETTEVILLE,NC,28314,US,601.869.7641,TRUCKLOAD,500397285,19.5,4,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Chelsey Braun,1579 ROSSMERE DRIVE,FAYETTEVILLE,NC,28314,US,(845)236-7280 x922,TRUCKLOAD,500400725,64.4,4,box
9/15/2014,,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Pasquale Nicolas Sr.,182 LOCHWOOD DRIVE,RAEFORD,NC,28376,US,645.280.7217,TRUCKLOAD,500402950,182,3,box
9/15/2014,M,Larkin LLC,1505 S BLOUNT ST,RALEIGH,NC,27603,US,Makenna Hoppe Sr.,107 DEERLODGE COURT,RAEFORD,NC,28376,US,1-279-219-9792 x686,TRUCKLOAD,500401180,22.62,2,box
